Wall time,Step,Value
1720735247.8726,6000,47255.73046875
1720735512.847571,19000,41289.96875
1720735637.597856,25000,42793.359375
1720735961.871726,41000,43503.640625
1720736004.361557,43000,43794.96484375
1720736065.529294,46000,42329.78125
1720736230.263975,54000,43322.51171875
1720736292.194904,57000,43605.7109375
1720736599.677794,72000,44367.1640625
1720736659.154197,75000,44608.67578125
1720737066.794724,95000,45428.04296875
1720737233.952385,103000,44077.22265625
1720737316.0617862,107000,44114.0234375
1720737729.0364852,127000,41048.609375
1720738000.794692,140000,39904.5078125
1720738232.0482078,151000,38473.91015625
1720738334.786528,156000,38582.41015625
1720738398.145108,159000,38622.08203125
1720738586.147328,168000,40356.734375
1720738819.788157,179000,42112.17578125
1720738926.278395,184000,40687.75
1720738968.6510458,186000,40707.21875
1720738989.299456,187000,40812.09375
1720739072.398193,191000,40250.1953125
1720739240.650392,199000,41027.6484375
1720739433.610903,208000,41165.8046875
1720739540.4599838,213000,42622.3515625
1720739774.568914,224000,40693.484375
1720739900.423434,230000,38228.109375
1720740007.032477,235000,37583.69140625
1720740324.461099,250000,35526.43359375
1720740455.1302688,256000,33745.00390625
1720740562.032557,261000,33850.72265625
1720740715.610323,268000,32634.00390625
1720740802.9497778,272000,34802.8046875
1720740846.567565,274000,34831.359375
1720741254.3779871,293000,35715.6796875
1720741364.133018,298000,36976.140625
1720743831.677839,302000,37356.328125
1720743920.375086,307000,38005.53125
1720743957.6530838,309000,38517.21484375
1720744096.900413,317000,37461.22265625
1720744315.222686,329000,38809.15234375
1720744475.973129,338000,38010.078125
1720744618.4054909,346000,38146.125
1720744907.613538,362000,38709.7265625
1720744988.103966,366000,39599.34765625
1720745188.9056268,376000,41798.0703125
1720746075.737928,420000,47939.68359375
1720746096.247809,421000,47954.40625
1720746438.815288,438000,50763.27734375
1720746479.856949,440000,50214.70703125
1720746500.392202,441000,50202.0703125
1720746560.498135,444000,47957.23828125
1720746864.3694348,459000,46171.14453125
1720746926.728939,462000,45918.08203125
1720746946.743575,463000,44772.59375
1720747149.383052,473000,44978.6015625
1720747494.861631,490000,42478.85546875
1720747537.5047581,492000,42329.55078125
1720747926.8635159,511000,41505.91015625
1720747969.135971,513000,41514.5078125
