timestamp,reward,state.STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value,state.STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value,state.ST_31003477.Q.value,state.ST_31003477.Q_LISSE.value,state.ST_31003477.T.value,state.ST_31003477.T_LISSE.value,action.STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value,next_state.STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value,next_state.STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value,next_state.ST_31003477.Q.value,next_state.ST_31003477.Q_LISSE.value,next_state.ST_31003477.T.value,next_state.ST_31003477.T_LISSE.value
"2008-04-15 00:00:20,419",0,120,120,840,876.0,1.0,1.0,14,120,120,600,816.0,1.0,1.0
"2008-04-15 00:01:00,162",0,120,120,600,816.0,1.0,1.0,14,120,120,1200,840.0,3.0,3.0
"2008-04-15 00:01:40,160",0,120,120,1200,840.0,3.0,3.0,14,120,120,1380,1092.0,3.0,3.0
"2008-04-15 00:02:20,165",0,120,120,1380,1092.0,3.0,3.0,14,120,120,1140,1272.0,2.0,2.0
"2008-04-15 00:03:00,162",0,120,120,1140,1272.0,2.0,2.0,14,120,120,1080,1164.0,2.0,2.0
"2008-04-15 00:03:40,158",0,120,120,1080,1164.0,2.0,2.0,14,120,120,1140,1128.0,2.0,2.0
"2008-04-15 00:04:20,161",0,120,120,1140,1128.0,2.0,2.0,14,120,120,840,1056.0,2.0,2.0
"2008-04-15 00:05:00,165",0,120,120,840,1056.0,2.0,2.0,14,120,120,900,936.0,2.0,2.0
"2008-04-15 00:05:40,170",0,120,120,900,936.0,2.0,2.0,14,120,120,900,864.0,1.0,1.0
"2008-04-15 00:06:20,165",0,120,120,900,864.0,1.0,1.0,14,120,120,1020,972.0,2.0,2.0
"2008-04-15 00:07:00,168",0,120,120,1020,972.0,2.0,2.0,14,120,120,660,960.0,1.0,1.0
"2008-04-15 00:07:40,172",0,120,120,660,960.0,1.0,1.0,14,120,120,900,900.0,1.0,1.0
"2008-04-15 00:08:20,157",0,120,120,900,900.0,1.0,1.0,14,120,120,420,756.0,0.0,0.0
"2008-04-15 00:09:00,164",0,120,120,420,756.0,0.0,0.0,14,120,120,840,720.0,2.0,2.0
